Epoch,Loss,Accuracy,Val Loss,Val Accuracy
1,0.5935,0.7346,3.1117,0.8153
2,0.4621,0.8104,4.8798,0.8113
3,0.4084,0.8325,3.4744,0.8475
4,0.3738,0.8478,3.8969,0.852
5,0.3519,0.858,3.9613,0.8262
6,0.3275,0.8664,3.3433,0.8596
7,0.3132,0.8723,4.1588,0.8426
8,0.3038,0.8783,3.0975,0.868
9,0.291,0.884,3.7912,0.8245
10,0.2824,0.889,3.9974,0.8326
11,0.2761,0.8903,2.9793,0.8552
12,0.2737,0.8926,4.2082,0.805
13,0.2614,0.8964,3.8263,0.8304
14,0.2548,0.9003,3.2554,0.8523
15,0.2502,0.9011,4.2288,0.7879
16,0.245,0.9027,3.4067,0.851
17,0.2399,0.906,3.2176,0.8522
18,0.2388,0.9071,4.0018,0.8357
19,0.236,0.9075,2.8704,0.8784
20,0.2295,0.9098,2.7285,0.8626
21,0.2272,0.9104,3.4698,0.8505
22,0.2219,0.9135,3.64,0.8104
23,0.2225,0.9112,2.4289,0.8718
24,0.219,0.9144,3.3739,0.8203
25,0.214,0.9164,3.1716,0.8457
26,0.2146,0.9172,2.7993,0.839
27,0.2093,0.9177,4.0222,0.8189
28,0.2088,0.9195,2.4382,0.8669
29,0.2059,0.92,2.7453,0.8589
30,0.2032,0.9195,3.1465,0.8479
31,0.2055,0.919,2.397,0.8836
32,0.2033,0.9212,3.0945,0.8423
33,0.199,0.9225,2.341,0.875
34,0.1981,0.9232,3.2565,0.8258
35,0.1957,0.9244,3.7448,0.8046
36,0.1932,0.924,2.9379,0.8705
37,0.1926,0.9238,2.8052,0.864
38,0.1913,0.9251,2.9052,0.8544
39,0.1901,0.9246,3.3075,0.8501
40,0.1862,0.9276,2.8944,0.8777
41,0.1888,0.9273,3.1431,0.8614
42,0.1881,0.926,3.1081,0.8215
43,0.1816,0.929,3.8234,0.8333
44,0.1802,0.9301,2.8684,0.8525
45,0.1822,0.929,3.0644,0.8332
46,0.1782,0.93,3.6224,0.8504
47,0.1782,0.93,4.0171,0.782
48,0.1772,0.9309,3.2509,0.8707
49,0.1795,0.9303,3.902,0.8457
50,0.175,0.9315,3.0468,0.863
